fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,approved
8.5,0.8,0.6,1.6,0.01,16.4,0.9947,3.39,0.8,10.0,0
11.2,0.35,0.18,2.8,0.014,7.5,0.9928,3.28,0.56,11.9,0
7.2,0.16,0.24,3.0,0.01,13.1,0.9947,3.34,0.69,11.6,1
8.6,0.41,0.21,15.5,0.01,20.3,0.9924,3.19,0.76,10.9,1
8.5,0.66,0.68,5.3,0.076,23.0,0.9976,3.38,0.66,9.8,0
9.4,0.94,0.51,5.9,0.142,9.8,0.9968,3.31,0.51,10.7,0
9.6,0.4,0.75,11.7,0.104,23.2,0.995,3.3,0.6,10.5,1
6.0,0.32,0.07,2.9,0.12,15.8,0.9982,3.38,0.82,9.8,0
10.3,0.54,0.04,3.2,0.09,7.2,0.9938,3.0,0.59,10.5,0
9.8,0.53,0.54,2.5,0.094,11.8,0.9992,3.15,1.01,9.9,1
5.8,0.87,0.21,1.3,0.124,9.3,0.9958,3.28,0.68,12.4,1
10.7,0.58,0.54,2.9,0.079,35.6,0.9976,3.33,0.68,9.2,0
6.2,0.91,0.58,3.2,0.093,17.1,0.9946,3.36,0.71,11.2,1
8.8,0.78,0.24,1.7,0.068,23.7,0.9969,3.21,0.68,10.4,0
7.8,0.7,0.76,4.8,0.03,28.5,0.9965,3.36,0.95,11.2,1
8.0,0.27,0.62,1.3,0.081,16.9,0.9961,3.25,0.6,11.3,1
7.7,0.46,0.29,2.7,0.032,25.8,0.9958,3.2,0.73,11.7,0
9.2,0.58,0.33,3.7,0.128,16.2,0.9975,3.4,0.84,10.0,0
6.8,0.1,0.57,1.1,0.11,14.9,0.9949,3.42,0.95,8.8,0
9.9,0.41,0.24,5.1,0.157,12.6,0.9928,3.41,0.73,13.3,1
9.2,0.47,0.24,1.9,0.05,11.1,0.9966,3.34,0.44,10.1,0
8.0,0.39,0.5,4.2,0.022,21.4,0.9988,3.36,0.42,8.8,0
9.8,0.91,0.11,1.3,0.015,4.7,0.9933,3.36,0.73,10.8,0
7.4,0.62,0.79,3.4,0.161,3.7,0.9969,3.45,0.75,10.3,1
8.2,0.49,0.23,3.0,0.068,25.2,0.9967,3.53,0.68,11.3,1
5.7,0.2,0.31,1.4,0.017,28.1,0.9978,3.47,0.62,10.3,0
7.4,0.43,0.18,3.5,0.109,33.6,0.9969,3.1,0.65,11.8,0
6.8,0.82,0.51,3.9,0.071,11.6,0.9953,3.24,0.65,10.1,0
5.3,0.42,0.05,2.7,0.043,1.0,0.9935,3.57,0.64,9.0,1
8.0,0.46,0.74,3.2,0.157,1.0,0.9969,3.07,0.73,11.1,1
8.1,0.3,0.24,6.5,0.08,29.9,0.9953,3.25,0.67,9.1,0
8.8,0.56,0.74,4.0,0.114,25.0,0.995,3.59,0.54,10.6,0
9.3,0.59,0.2,6.9,0.107,20.7,0.9969,3.13,0.6,11.6,1
7.9,0.56,0.41,3.0,0.215,22.6,0.9945,3.19,0.43,9.7,0
9.1,0.32,0.56,1.5,0.078,23.1,0.9969,3.29,0.3,11.1,1
9.8,0.62,0.49,1.7,0.04,35.8,0.9978,3.11,0.67,10.7,1
10.2,0.46,0.41,1.5,0.055,4.4,0.9937,3.44,0.71,9.8,0
9.3,0.57,0.63,2.0,0.134,6.7,0.9986,3.39,0.47,12.0,1
9.1,0.67,0.38,2.6,0.099,21.0,0.9966,3.48,0.74,11.1,0
6.6,0.61,0.27,1.7,0.065,24.0,0.9987,3.07,0.71,11.9,1
9.7,0.65,0.57,2.6,0.103,3.2,0.9961,3.39,0.55,9.6,1
6.6,0.65,0.75,2.1,0.149,24.6,1.0004,3.31,0.64,10.6,1
8.8,0.69,0.48,3.0,0.165,11.2,0.9996,3.07,0.44,11.6,1
9.4,0.71,0.22,2.4,0.104,21.3,0.9967,3.61,0.76,10.5,1
9.0,0.75,0.61,2.4,0.14,2.3,0.9964,3.16,0.32,12.3,1
4.0,0.61,0.61,2.7,0.02,1.0,0.9919,3.38,0.63,9.8,1
9.7,0.68,0.21,12.0,0.116,21.9,0.9963,3.26,0.87,10.5,0
10.9,0.56,0.31,3.0,0.079,36.9,0.9972,3.4,0.65,11.4,0
5.6,0.65,0.11,4.2,0.033,16.3,0.9967,3.23,0.58,10.9,1
8.6,0.45,0.06,2.3,0.043,35.1,0.9971,3.44,0.43,10.8,0
8.0,0.21,0.65,2.0,0.049,1.4,0.9977,3.54,1.02,10.8,1
8.4,0.79,0.3,7.2,0.101,6.6,0.9961,3.33,0.43,8.3,0
10.5,0.56,0.23,4.4,0.035,21.1,0.9971,3.07,0.87,10.2,0
